CD_SETOR,V06001,V06002,V06003,V06004,V06005
314330205000438,"242,00","687,00","2,08","2.244,22","6.778.941,82"
314330205000439,"183,00","501,00","2,22","2.735,79","8.333.221,72"
314330205000440,"146,00","391,00","1,83","2.438,04","6.596.897,60"
314330205000442,"172,00","461,00","1,84","8.606,03","74.454.927,20"
314330205000446,"225,00","625,00","1,60","2.697,70","4.915.096,22"
314330205000447,"15,00","43,00","3,12","1.260,31","178.643,90"
314330205000448,"142,00","394,00","2,46","1.482,40","888.654,06"
314330205000449,"144,00","405,00","1,83","1.648,39","2.592.421,97"
314330205000450,"130,00","321,00","1,65","1.318,77","453.724,18"
314330205000451,"159,00","458,00","1,80","1.754,18","1.245.236,19"
314330205000453,"212,00","658,00","1,54","3.373,12","23.115.678,41"
314330205000454,"212,00","650,00","1,46","2.502,31","5.752.316,49"
314330205000455,"96,00","279,00","2,00","1.408,60","1.646.349,86"
314330205000457,"223,00","655,00","2,10","1.457,96","833.027,82"
314330205000458,"176,00","526,00","2,46","1.976,47","3.999.975,43"
314330205000459,"192,00","548,00","1,96","2.730,66","6.164.642,08"
314330205000460,"220,00","602,00","2,27","1.450,32","749.849,00"
314330205000461,"190,00","544,00","1,50","2.752,52","10.127.531,74"
314330205000463,"159,00","438,00","2,14","1.438,17","1.055.517,35"
314330205000464,"161,00","484,00","2,38","1.552,03","1.711.612,00"
314330205000465,"204,00","605,00","2,07","2.550,75","5.652.960,33"
314330205000467,"192,00","486,00","1,64","2.727,55","7.375.527,05"
314330205000468,"194,00","571,00","2,22","3.636,92","18.632.275,18"
314330205000469,"194,00","473,00","1,50","3.302,03","11.189.834,33"
314330205000470,"147,00","358,00","1,48","2.979,83","6.141.370,19"
314330205000471,"174,00","506,00","2,14","2.229,35","4.991.220,77"
314330205000472,"229,00","618,00","1,42","5.639,18","38.708.834,51"
314330205000473,"204,00","548,00","1,58","5.853,99","41.256.170,69"
314330205000474,"212,00","606,00","1,55","5.505,71","55.905.284,43"
314330205000475,"98,00","266,00","1,22","7.231,49","26.009.005,50"
314330205000476,"168,00","487,00","1,62","6.888,72","30.049.646,79"
314330205000477,"129,00","353,00","1,71","5.874,99","22.498.229,66"
314330205000478,"157,00","395,00","1,29","5.939,44","22.712.984,35"
314330205000480,"87,00","236,00","1,93","4.130,02","10.972.638,29"
314330205000481,"189,00","563,00","1,72","2.801,35","6.087.840,74"
314330205000482,"217,00","615,00","1,60","2.717,58","7.267.375,75"
314330205000483,"216,00","641,00","1,96","1.685,96","826.415,84"
314330205000485,"272,00","825,00","2,95","2.217,37","6.122.884,99"
314330205000486,"230,00","675,00","1,50","1.977,18","1.428.324,35"
314330205000487,"256,00","767,00","1,45","1.915,30","943.252,88"
314330205000488,"288,00","959,00","2,19","1.742,19","1.945.621,96"
314330205000490,"202,00","563,00","1,69","1.665,74","940.981,16"
314330205000492,"258,00","766,00","2,15","1.444,69","832.826,25"
314330205000493,"183,00","556,00","2,12","1.855,95","2.754.962,48"
314330205000495,"206,00","643,00","2,12","1.948,24","2.036.137,26"
314330205000497,"290,00","934,00","2,19","1.418,26","694.583,22"
314330205000498,"184,00","540,00","1,93","1.859,65","10.858.253,21"
314330205000502,"257,00","742,00","1,59","1.823,09","5.284.803,42"
314330205000503,"252,00","724,00","2,35","1.689,64","2.523.956,16"
314330205000504,"162,00","475,00","2,05","2.008,68","9.220.402,82"
314330205000506,"212,00","615,00","2,37","1.754,49","1.793.605,29"
314330205000507,"202,00","510,00","1,52","2.861,94","8.807.178,22"
314330205000508,"174,00","509,00","1,68","5.753,31","36.124.339,14"
314330205000509,"241,00","781,00","3,02","1.325,44","388.838,75"
314330205000511,"266,00","782,00","1,39","2.123,51","2.890.768,86"
314330205000512,"195,00","543,00","1,59","1.908,11","1.051.848,66"
314330205000513,"37,00","121,00","2,81","1.212,35","491.741,68"
314330205000515,"181,00","533,00","1,96","1.334,30","947.506,24"
314330205000522,"131,00","405,00","2,35","1.517,03","1.269.068,15"
314330205000523,"121,00","369,00","1,95","1.819,97","1.867.061,81"
314330205000524,"252,00","702,00","1,52","1.796,10","1.340.631,30"
314330205000525,"180,00","538,00","1,65","2.546,33","6.159.982,01"
314330205000526,"292,00","836,00","1,80","2.292,39","4.350.369,42"
314330205000527,"226,00","637,00","1,75","1.723,31","4.060.658,82"
314330205000528,"286,00","874,00","1,77","1.447,45","747.134,61"
314330205000531,"177,00","475,00","1,51","2.154,65","2.469.069,20"
314330205000532,"188,00","491,00","1,69","2.558,98","3.932.267,69"
314330205000533,"222,00","700,00","2,41","1.721,47","1.312.086,97"
314330205000534,"311,00","920,00","1,36","3.265,99","13.218.796,78"
314330205000538,"196,00","550,00","1,38","4.084,61","10.499.041,23"
314330205000539,"70,00","223,00","1,23","11.281,60","104.198.609,34"
314330205000540,"15,00","47,00","0,55","6.698,86","11.299.301,36"
314330205000541,"145,00","292,00","1,15","3.280,60","10.326.202,18"
314330205000544,"161,00","495,00","1,94","5.142,19","24.199.311,38"
314330205000550,"214,00","617,00","2,26","1.780,90","2.287.764,68"
314330205000551,"120,00","411,00","3,51","2.898,40","9.571.361,41"
314330205000554,"159,00","526,00","3,29","1.265,41","423.656,99"
314330205000557,"160,00","471,00","2,07","2.244,75","4.314.264,10"
314330205000558,"134,00","410,00","1,76","2.101,84","3.888.514,05"
314330205000559,"249,00","791,00","1,51","2.734,60","5.573.912,96"
314330205000560,"209,00","436,00","1,03","2.261,99","2.353.615,76"
314330205000561,"243,00","538,00","1,19","2.288,10","3.292.312,81"
314330205000562,"208,00","454,00","0,94","2.473,38","3.001.157,96"
314330205000563,"178,00","376,00","1,03","2.362,66","2.673.135,48"
314330205000565,"186,00","559,00","1,78","2.681,92","7.122.150,51"
314330205000566,"200,00","603,00","2,12","3.999,58","13.618.959,16"
314330205000567,"111,00","306,00","1,79","7.597,14","50.522.765,36"
314330205000568,"164,00","448,00","1,39","4.949,62","14.670.505,86"
314330205000569,"130,00","392,00","1,66","3.231,09","8.296.867,84"
314330205000570,"189,00","579,00","1,59","1.685,37","5.559.764,99"
314330205000571,"154,00","480,00","1,91","4.101,62","17.107.793,52"
314330205000573,"243,00","769,00","2,09","2.678,67","32.244.017,28"
314330205000574,"289,00","869,00","2,00","2.155,78","2.544.736,48"
314330205000575,"187,00","726,00","3,51","1.187,40","393.010,98"
314330205000576,"130,00","412,00","1,79","1.438,60","400.241,49"
314330205000577,"151,00","459,00","1,29","2.658,10","3.051.258,15"
314330205000578,"159,00","533,00","1,61","2.712,19","18.391.704,81"
314330205000579,"108,00","330,00","1,68","1.810,80","803.711,62"
314330205000580,"94,00","292,00","1,41","1.907,98","1.248.137,68"
314330205000581,"276,00","851,00","1,94","1.923,07","2.596.213,22"
314330205000582,"210,00","619,00","2,27","2.078,52","5.213.380,91"
314330205000583,"275,00","857,00","1,61","1.997,06","2.039.252,86"
314330205000584,"266,00","791,00","1,90","1.783,90","2.199.994,48"
314330205000586,"214,00","665,00","2,00","3.315,52","8.088.210,46"
314330205000588,"211,00","643,00","1,81","1.728,43","1.207.441,69"
